run_id,run_name,sweep_id,state,created_at,config_gpt_model,config_world_size,config_lr_schedule.name,config_lr_schedule.warm_up_fraction,config_training_data,config_hydra.job.name,config_logging_params.wandb,config_logging_params.log_step,config_logging_params.val_step,config_logging_params.keep_last,config_logging_params.svd_log_step,config_logging_params.load_ckpt_step,config_logging_params.save_ckpt_step,config_logging_params.save_checkpoint,config_logging_params.val_tokens_processed,config_optimizer_params.args,config_optimizer_params.name,config_optimizer_params.args.lr,config_logging_params.wandb.tags,config_logging_params.wandb.project,config_optimizer_params.args.weight_decay,config_training_data.training_params.num_epochs,config_training_data.training_params.tokens_processed,config_seed,config_logging_params.diag_log_step,config_optimizer_params.args.ns_steps,config_optimizer_params.args.adamw_betas,config_optimizer_params.args.polar_method,config_optimizer_params.args.polar_safety,config_optimizer_params.args.polar_cushion,config_optimizer_params.args.polar_num_iters,config_ckpt_glob,config_optimizer_params.args.betas,config_training_data.training_params.batch_size,config_optimizer_params.args.muon_mode,config_optimizer_params.args.split_heads,config_logging_params.timing_only,config_optimizer_params.args.muon_variant
zuqvn3y6,atomic-sweep-2,manual_runs,finished,2025-11-19T03:58:49Z,gpt-small,1.0,constant-linear,0.4,fineweb1B,phase1-safety-sweep-test,"{'dir': 'outputs/wandb', 'tags': ['phase1', 'stage1', 'safety-sweep', 'svd-test'], 'project': 'cs182-project-GPT-opt'}",160.0,3200.0,4.0,800.0,0.0,6400.0,True,16384.0,"{'lr': 0.01, 'betas': None, 'ns_steps': 5, 'adamw_betas': [0.9, 0.999], 'polar_method': 'polarexpress', 'polar_safety': 1.01, 'weight_decay': 0.01, 'polar_cushion': 0.024, 'polar_num_iters': [5]}",muon,0.01,"['phase1', 'stage1', 'safety-sweep', 'svd-test']",cs182-project-GPT-opt,0.01,0.2,524288.0,42.0,800.0,5.0,"[0.9, 0.999]",polarexpress,1.01,0.024,[5],,,,,,,
ar62wpbw,sunny-sweep-1,manual_runs,finished,2025-11-19T08:39:13Z,gpt-small,1.0,constant-linear,0.4,fineweb1B,phase1-pe-stage2,"{'dir': 'outputs/wandb', 'tags': ['phase1', 'stage2', 'pe-hyperparams', 'finalists'], 'project': 'cs182-project-GPT-opt'}",160.0,3200.0,2.0,800.0,0.0,3200.0,True,16384.0,"{'lr': 0.01, 'betas': None, 'ns_steps': 5, 'adamw_betas': [0.9, 0.999], 'polar_method': 'polarexpress', 'polar_safety': 1.01, 'weight_decay': 0.01, 'polar_cushion': 0.024, 'polar_num_iters': [2]}",muon,0.01,"['phase1', 'stage2', 'pe-hyperparams', 'finalists']",cs182-project-GPT-opt,0.01,1.0,524288.0,42.0,800.0,5.0,"[0.9, 0.999]",polarexpress,1.01,0.024,[2],,,,,,,
wt19zl8z,giddy-sweep-2,manual_runs,finished,2025-11-19T08:42:44Z,gpt-small,1.0,constant-linear,0.4,fineweb1B,phase1-pe-stage2,"{'dir': 'outputs/wandb', 'tags': ['phase1', 'stage2', 'pe-hyperparams', 'finalists'], 'project': 'cs182-project-GPT-opt'}",160.0,3200.0,2.0,800.0,0.0,3200.0,True,16384.0,"{'lr': 0.01, 'betas': None, 'ns_steps': 5, 'adamw_betas': [0.9, 0.999], 'polar_method': 'polarexpress', 'polar_safety': 1.01, 'weight_decay': 0.01, 'polar_cushion': 0.024, 'polar_num_iters': [2]}",muon,0.01,"['phase1', 'stage2', 'pe-hyperparams', 'finalists']",cs182-project-GPT-opt,0.01,1.0,524288.0,123.0,800.0,5.0,"[0.9, 0.999]",polarexpress,1.01,0.024,[2],,,,,,,
zsnfohcl,charmed-sweep-3,manual_runs,finished,2025-11-19T12:14:22Z,gpt-small,1.0,constant-linear,0.4,fineweb1B,phase1-pe-stage2,"{'dir': 'outputs/wandb', 'tags': ['phase1', 'stage2', 'pe-hyperparams', 'finalists'], 'project': 'cs182-project-GPT-opt'}",160.0,3200.0,2.0,800.0,0.0,3200.0,True,16384.0,"{'lr': 0.01, 'betas': None, 'ns_steps': 5, 'adamw_betas': [0.9, 0.999], 'polar_method': 'polarexpress', 'polar_safety': 1.01, 'weight_decay': 0.01, 'polar_cushion': 0.024, 'polar_num_iters': [2]}",muon,0.01,"['phase1', 'stage2', 'pe-hyperparams', 'finalists']",cs182-project-GPT-opt,0.01,1.0,524288.0,456.0,800.0,5.0,"[0.9, 0.999]",polarexpress,1.01,0.024,[2],,,,,,,
nzukrmv4,electric-sweep-4,manual_runs,finished,2025-11-19T12:15:54Z,gpt-small,1.0,constant-linear,0.4,fineweb1B,phase1-pe-stage2,"{'dir': 'outputs/wandb', 'tags': ['phase1', 'stage2', 'pe-hyperparams', 'finalists'], 'project': 'cs182-project-GPT-opt'}",160.0,3200.0,2.0,800.0,0.0,3200.0,True,16384.0,"{'lr': 0.01, 'betas': None, 'ns_steps': 5, 'adamw_betas': [0.9, 0.999], 'polar_method': 'polarexpress', 'polar_safety': 1.01, 'weight_decay': 0.01, 'polar_cushion': 0.024, 'polar_num_iters': [3]}",muon,0.01,"['phase1', 'stage2', 'pe-hyperparams', 'finalists']",cs182-project-GPT-opt,0.01,1.0,524288.0,42.0,800.0,5.0,"[0.9, 0.999]",polarexpress,1.01,0.024,[3],,,,,,,
60kyonuj,prime-sweep-5,manual_runs,finished,2025-11-19T15:48:13Z,gpt-small,1.0,constant-linear,0.4,fineweb1B,phase1-pe-stage2,"{'dir': 'outputs/wandb', 'tags': ['phase1', 'stage2', 'pe-hyperparams', 'finalists'], 'project': 'cs182-project-GPT-opt'}",160.0,3200.0,2.0,800.0,0.0,3200.0,True,16384.0,"{'lr': 0.01, 'betas': None, 'ns_steps': 5, 'adamw_betas': [0.9, 0.999], 'polar_method': 'polarexpress', 'polar_safety': 1.01, 'weight_decay': 0.01, 'polar_cushion': 0.024, 'polar_num_iters': [3]}",muon,0.01,"['phase1', 'stage2', 'pe-hyperparams', 'finalists']",cs182-project-GPT-opt,0.01,1.0,524288.0,123.0,800.0,5.0,"[0.9, 0.999]",polarexpress,1.01,0.024,[3],,,,,,,
6bgvb00b,denim-sweep-1,bbxdd87r,finished,2025-11-16T10:36:52Z,gpt-small,1.0,constant-linear,0.4,fineweb1B,phase0-muon,"{'dir': 'outputs/wandb', 'tags': ['phase0', 'baseline', 'muon'], 'project': 'cs182-polar-express'}",160.0,8000.0,2.0,800.0,0.0,32000.0,True,16384.0,"{'lr': 0.001, 'betas': None, 'ns_steps': 5, 'adamw_betas': [0.9, 0.999], 'polar_method': 'polarexpress', 'polar_safety': 1.01, 'weight_decay': 0.01, 'polar_cushion': 0.024, 'polar_num_iters': 5}",muon,0.001,"['phase0', 'baseline', 'muon']",cs182-polar-express,0.01,0.2,524288.0,,160.0,5.0,"[0.9, 0.999]",polarexpress,1.01,0.024,5,,,,,,,
j29swplo,peach-sweep-3,manual_runs,finished,2025-11-15T00:28:36Z,gpt-small,1.0,constant-linear,0.4,fineweb1B,phase0-adamw,"{'dir': 'outputs/wandb', 'tags': ['phase0', 'baseline', 'adamw'], 'project': 'cs182-polar-express'}",800.0,8000.0,2.0,1600.0,0.0,32000.0,True,16384.0,"{'lr': 0.0006, 'weight_decay': 0.1}",adamw,0.0006,"['phase0', 'baseline', 'adamw']",cs182-polar-express,0.1,0.2,524288.0,,,,,,,,,,,,,,,
aytdi9pz,pretty-sweep-2,manual_runs,finished,2025-11-14T23:50:51Z,gpt-small,1.0,constant-linear,0.4,fineweb1B,phase0-adamw,"{'dir': 'outputs/wandb', 'tags': ['phase0', 'baseline', 'adamw'], 'project': 'cs182-polar-express'}",800.0,8000.0,2.0,1600.0,0.0,32000.0,True,16384.0,"{'lr': 0.0003, 'weight_decay': 0.1}",adamw,0.0003,"['phase0', 'baseline', 'adamw']",cs182-polar-express,0.1,0.2,524288.0,,,,,,,,,,,,,,,
vfu9uyr8,denim-sweep-6,manual_runs,finished,2025-11-19T15:49:43Z,gpt-small,1.0,constant-linear,0.4,fineweb1B,phase1-pe-stage2,"{'dir': 'outputs/wandb', 'tags': ['phase1', 'stage2', 'pe-hyperparams', 'finalists'], 'project': 'cs182-project-GPT-opt'}",160.0,3200.0,2.0,800.0,0.0,3200.0,True,16384.0,"{'lr': 0.01, 'betas': None, 'ns_steps': 5, 'adamw_betas': [0.9, 0.999], 'polar_method': 'polarexpress', 'polar_safety': 1.01, 'weight_decay': 0.01, 'polar_cushion': 0.024, 'polar_num_iters': [3]}",muon,0.01,"['phase1', 'stage2', 'pe-hyperparams', 'finalists']",cs182-project-GPT-opt,0.01,1.0,524288.0,456.0,800.0,5.0,"[0.9, 0.999]",polarexpress,1.01,0.024,[3],,,,,,,
0oll6qb5,good-sweep-7,manual_runs,finished,2025-11-19T19:20:23Z,gpt-small,1.0,constant-linear,0.4,fineweb1B,phase1-pe-stage2,"{'dir': 'outputs/wandb', 'tags': ['phase1', 'stage2', 'pe-hyperparams', 'finalists'], 'project': 'cs182-project-GPT-opt'}",160.0,3200.0,2.0,800.0,0.0,3200.0,True,16384.0,"{'lr': 0.01, 'betas': None, 'ns_steps': 5, 'adamw_betas': [0.9, 0.999], 'polar_method': 'polarexpress', 'polar_safety': 1.01, 'weight_decay': 0.01, 'polar_cushion': 0.024, 'polar_num_iters': [3, 0]}",muon,0.01,"['phase1', 'stage2', 'pe-hyperparams', 'finalists']",cs182-project-GPT-opt,0.01,1.0,524288.0,42.0,800.0,5.0,"[0.9, 0.999]",polarexpress,1.01,0.024,"[3, 0]",,,,,,,
mqqy71u9,solar-sweep-2,bfj88tht,finished,2025-11-16T11:09:43Z,gpt-small,1.0,constant-linear,0.4,fineweb1B,phase0-adamw,"{'dir': 'outputs/wandb', 'tags': ['phase0', 'baseline', 'adamw'], 'project': 'cs182-polar-express'}",160.0,8000.0,2.0,800.0,0.0,32000.0,True,16384.0,"{'lr': 1e-05, 'betas': [0.9, 0.999], 'ns_steps': None, 'adamw_betas': None, 'polar_method': None, 'polar_safety': None, 'weight_decay': 0.1, 'polar_cushion': None, 'polar_num_iters': None}",adamw,1e-05,"['phase0', 'baseline', 'adamw']",cs182-polar-express,0.1,0.2,524288.0,,160.0,,,,,,,,"[0.9, 0.999]",,,,,
pr5h6ii6,neat-sweep-3,bfj88tht,finished,2025-11-16T11:48:21Z,gpt-small,1.0,constant-linear,0.4,fineweb1B,phase0-adamw,"{'dir': 'outputs/wandb', 'tags': ['phase0', 'baseline', 'adamw'], 'project': 'cs182-polar-express'}",160.0,8000.0,2.0,800.0,0.0,32000.0,True,16384.0,"{'lr': 0.0001, 'betas': [0.9, 0.999], 'ns_steps': None, 'adamw_betas': None, 'polar_method': None, 'polar_safety': None, 'weight_decay': 0.01, 'polar_cushion': None, 'polar_num_iters': None}",adamw,0.0001,"['phase0', 'baseline', 'adamw']",cs182-polar-express,0.01,0.2,524288.0,,160.0,,,,,,,,"[0.9, 0.999]",,,,,
6gb9dxod,morning-sweep-5,bfj88tht,finished,2025-11-16T13:05:46Z,gpt-small,1.0,constant-linear,0.4,fineweb1B,phase0-adamw,"{'dir': 'outputs/wandb', 'tags': ['phase0', 'baseline', 'adamw'], 'project': 'cs182-polar-express'}",160.0,8000.0,2.0,800.0,0.0,32000.0,True,16384.0,"{'lr': 0.0003, 'betas': [0.9, 0.999], 'ns_steps': None, 'adamw_betas': None, 'polar_method': None, 'polar_safety': None, 'weight_decay': 0.01, 'polar_cushion': None, 'polar_num_iters': None}",adamw,0.0003,"['phase0', 'baseline', 'adamw']",cs182-polar-express,0.01,0.2,524288.0,,160.0,,,,,,,,"[0.9, 0.999]",,,,,
6fobkozw,dutiful-sweep-2,bbxdd87r,finished,2025-11-16T11:15:49Z,gpt-small,1.0,constant-linear,0.4,fineweb1B,phase0-muon,"{'dir': 'outputs/wandb', 'tags': ['phase0', 'baseline', 'muon'], 'project': 'cs182-polar-express'}",160.0,8000.0,2.0,800.0,0.0,32000.0,True,16384.0,"{'lr': 0.001, 'betas': None, 'ns_steps': 5, 'adamw_betas': [0.9, 0.999], 'polar_method': 'polarexpress', 'polar_safety': 1.01, 'weight_decay': 0.1, 'polar_cushion': 0.024, 'polar_num_iters': 5}",muon,0.001,"['phase0', 'baseline', 'muon']",cs182-polar-express,0.1,0.2,524288.0,,160.0,5.0,"[0.9, 0.999]",polarexpress,1.01,0.024,5,,,,,,,
dh6sjga7,apricot-sweep-1,bfj88tht,finished,2025-11-16T10:31:14Z,gpt-small,1.0,constant-linear,0.4,fineweb1B,phase0-adamw,"{'dir': 'outputs/wandb', 'tags': ['phase0', 'baseline', 'adamw'], 'project': 'cs182-polar-express'}",160.0,8000.0,2.0,800.0,0.0,32000.0,True,16384.0,"{'lr': 1e-05, 'betas': [0.9, 0.999], 'ns_steps': None, 'adamw_betas': None, 'polar_method': None, 'polar_safety': None, 'weight_decay': 0.01, 'polar_cushion': None, 'polar_num_iters': None}",adamw,1e-05,"['phase0', 'baseline', 'adamw']",cs182-polar-express,0.01,0.2,524288.0,,160.0,,,,,,,,"[0.9, 0.999]",,,,,
rkl28l23,swift-sweep-3,bbxdd87r,finished,2025-11-16T11:54:32Z,gpt-small,1.0,constant-linear,0.4,fineweb1B,phase0-muon,"{'dir': 'outputs/wandb', 'tags': ['phase0', 'baseline', 'muon'], 'project': 'cs182-polar-express'}",160.0,8000.0,2.0,800.0,0.0,32000.0,True,16384.0,"{'lr': 0.01, 'betas': None, 'ns_steps': 5, 'adamw_betas': [0.9, 0.999], 'polar_method': 'polarexpress', 'polar_safety': 1.01, 'weight_decay': 0.01, 'polar_cushion': 0.024, 'polar_num_iters': 5}",muon,0.01,"['phase0', 'baseline', 'muon']",cs182-polar-express,0.01,0.2,524288.0,,160.0,5.0,"[0.9, 0.999]",polarexpress,1.01,0.024,5,,,,,,,
3vx9e4nz,rural-sweep-8,manual_runs,finished,2025-11-19T19:23:57Z,gpt-small,1.0,constant-linear,0.4,fineweb1B,phase1-pe-stage2,"{'dir': 'outputs/wandb', 'tags': ['phase1', 'stage2', 'pe-hyperparams', 'finalists'], 'project': 'cs182-project-GPT-opt'}",160.0,3200.0,2.0,800.0,0.0,3200.0,True,16384.0,"{'lr': 0.01, 'betas': None, 'ns_steps': 5, 'adamw_betas': [0.9, 0.999], 'polar_method': 'polarexpress', 'polar_safety': 1.01, 'weight_decay': 0.01, 'polar_cushion': 0.024, 'polar_num_iters': [3, 0]}",muon,0.01,"['phase1', 'stage2', 'pe-hyperparams', 'finalists']",cs182-project-GPT-opt,0.01,1.0,524288.0,123.0,800.0,5.0,"[0.9, 0.999]",polarexpress,1.01,0.024,"[3, 0]",,,,,,,
tvh8mtue,logical-sweep-1,j7qzf95f,finished,2025-11-19T23:28:34Z,gpt-small,1.0,constant-linear,0.4,fineweb1B,phase1-pe-stage2,"{'dir': 'outputs/wandb', 'tags': ['phase1', 'stage2', 'pe-hyperparams', 'finalists'], 'project': 'cs182-project-GPT-opt'}",160.0,3200.0,2.0,800.0,0.0,3200.0,True,16384.0,"{'lr': 0.01, 'betas': None, 'ns_steps': 5, 'adamw_betas': [0.9, 0.999], 'polar_method': 'polarexpress', 'polar_safety': 1.01, 'weight_decay': 0.01, 'polar_cushion': 0.024, 'polar_num_iters': [1]}",muon,0.01,"['phase1', 'stage2', 'pe-hyperparams', 'finalists']",cs182-project-GPT-opt,0.01,1.0,524288.0,42.0,800.0,5.0,"[0.9, 0.999]",polarexpress,1.01,0.024,[1],,,,,,,
b4z44qqf,decent-sweep-6,bfj88tht,finished,2025-11-16T13:44:29Z,gpt-small,1.0,constant-linear,0.4,fineweb1B,phase0-adamw,"{'dir': 'outputs/wandb', 'tags': ['phase0', 'baseline', 'adamw'], 'project': 'cs182-polar-express'}",160.0,8000.0,2.0,800.0,0.0,32000.0,True,16384.0,"{'lr': 0.0003, 'betas': [0.9, 0.999], 'ns_steps': None, 'adamw_betas': None, 'polar_method': None, 'polar_safety': None, 'weight_decay': 0.1, 'polar_cushion': None, 'polar_num_iters': None}",adamw,0.0003,"['phase0', 'baseline', 'adamw']",cs182-polar-express,0.1,0.2,524288.0,,160.0,,,,,,,,"[0.9, 0.999]",,,,,
em9muavo,golden-sweep-8,bfj88tht,finished,2025-11-16T15:01:56Z,gpt-small,1.0,constant-linear,0.4,fineweb1B,phase0-adamw,"{'dir': 'outputs/wandb', 'tags': ['phase0', 'baseline', 'adamw'], 'project': 'cs182-polar-express'}",160.0,8000.0,2.0,800.0,0.0,32000.0,True,16384.0,"{'lr': 0.0006, 'betas': [0.9, 0.999], 'ns_steps': None, 'adamw_betas': None, 'polar_method': None, 'polar_safety': None, 'weight_decay': 0.1, 'polar_cushion': None, 'polar_num_iters': None}",adamw,0.0006,"['phase0', 'baseline', 'adamw']",cs182-polar-express,0.1,0.2,524288.0,,160.0,,,,,,,,"[0.9, 0.999]",,,,,
t052rjcl,serene-sweep-4,bfj88tht,finished,2025-11-16T12:27:04Z,gpt-small,1.0,constant-linear,0.4,fineweb1B,phase0-adamw,"{'dir': 'outputs/wandb', 'tags': ['phase0', 'baseline', 'adamw'], 'project': 'cs182-polar-express'}",160.0,8000.0,2.0,800.0,0.0,32000.0,True,16384.0,"{'lr': 0.0001, 'betas': [0.9, 0.999], 'ns_steps': None, 'adamw_betas': None, 'polar_method': None, 'polar_safety': None, 'weight_decay': 0.1, 'polar_cushion': None, 'polar_num_iters': None}",adamw,0.0001,"['phase0', 'baseline', 'adamw']",cs182-polar-express,0.1,0.2,524288.0,,160.0,,,,,,,,"[0.9, 0.999]",,,,,
l2kglsmq,revived-sweep-5,bbxdd87r,finished,2025-11-16T13:12:08Z,gpt-small,1.0,constant-linear,0.4,fineweb1B,phase0-muon,"{'dir': 'outputs/wandb', 'tags': ['phase0', 'baseline', 'muon'], 'project': 'cs182-polar-express'}",160.0,8000.0,2.0,800.0,0.0,32000.0,True,16384.0,"{'lr': 0.02, 'betas': None, 'ns_steps': 5, 'adamw_betas': [0.9, 0.999], 'polar_method': 'polarexpress', 'polar_safety': 1.01, 'weight_decay': 0.01, 'polar_cushion': 0.024, 'polar_num_iters': 5}",muon,0.02,"['phase0', 'baseline', 'muon']",cs182-polar-express,0.01,0.2,524288.0,,160.0,5.0,"[0.9, 0.999]",polarexpress,1.01,0.024,5,,,,,,,
o07peq3z,stoic-sweep-9,bfj88tht,finished,2025-11-16T15:40:40Z,gpt-small,1.0,constant-linear,0.4,fineweb1B,phase0-adamw,"{'dir': 'outputs/wandb', 'tags': ['phase0', 'baseline', 'adamw'], 'project': 'cs182-polar-express'}",160.0,8000.0,2.0,800.0,0.0,32000.0,True,16384.0,"{'lr': 0.001, 'betas': [0.9, 0.999], 'ns_steps': None, 'adamw_betas': None, 'polar_method': None, 'polar_safety': None, 'weight_decay': 0.01, 'polar_cushion': None, 'polar_num_iters': None}",adamw,0.001,"['phase0', 'baseline', 'adamw']",cs182-polar-express,0.01,0.2,524288.0,,160.0,,,,,,,,"[0.9, 0.999]",,,,,
